date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
05-15-2022,-96.243960,44.755090,-47.032450,26.716918,17.308985,-28.631360,-31.667304,35.349740,-38.046705,-13.958865,-35.369957,12.300333,-26.850289,-8.673950,0.000000
05-17-2022,-87.749844,160.133623,-88.716181,46.869239,-78.781336,-11.090657,1.943745,17.266230,-0.579742,-0.924887,20.533048,-41.308501,-7.692655,6.216352,0.000000
06-21-2022,92.071951,-51.117632,90.652705,-30.988189,12.052732,-93.289584,-45.847652,-27.714281,-14.524590,-13.663243,-9.631158,-16.479400,16.470065,13.117282,0.000000
06-24-2022,101.707299,-0.414441,-182.019173,-68.062981,60.894534,-16.090795,16.281005,-8.941170,-27.918214,-2.414049,43.691771,10.168461,-3.935391,-1.745030,0.000000
06-29-2022,31.018990,219.293422,-1.825763,-33.278966,-14.744327,0.303744,1.470021,35.301211,11.527028,-15.759811,-5.178933,20.274536,36.171014,-10.088282,0.000000
07-04-2022,269.611359,-70.892283,101.638081,108.721425,-35.633661,12.467657,54.765605,-0.534365,-34.417171,7.415794,-0.341310,-1.561267,1.910802,-9.008780,0.000000
08-07-2022,176.070692,195.608295,108.334793,-31.106223,32.691598,68.042383,-36.066555,-10.834824,8.941354,9.462686,-1.814014,2.536467,-18.298844,13.169903,0.000000
08-15-2021,-268.969612,29.309738,59.220352,104.319236,46.862077,35.779517,22.962656,-46.601646,-11.667617,-26.891431,7.202225,4.356501,9.280783,4.059765,0.000000
09-29-2021,-83.852601,-77.537167,77.364364,23.554871,-68.928901,-22.595536,-50.795734,-9.447942,14.575021,16.064342,30.298412,37.439495,-8.468054,-2.737779,0.000000
10-05-2021,-90.824540,-131.349331,60.919585,19.785135,64.129016,23.809893,-31.330956,57.222303,2.442716,36.280722,10.144994,-21.290297,12.324516,-3.935768,0.000000
11-01-2021,-29.859264,-119.290726,-85.842766,-16.044543,-25.424380,15.743761,45.916377,30.805415,1.215029,6.683965,-17.851382,20.286699,4.929068,27.208679,0.000000
11-03-2021,104.139258,-46.394988,-199.863946,93.374717,11.926139,6.203333,-30.969035,-38.391711,40.284204,13.050539,-22.411416,-2.500259,4.481156,-6.150943,0.000000
11-18-2021,-12.798669,16.297031,87.372351,-17.538391,37.927601,-60.679574,70.905577,9.622115,52.634409,-5.120592,0.292213,-2.649024,-18.518340,-4.660155,0.000000
12-14-2021,-132.943384,20.250751,11.235716,-133.305298,-28.576616,11.880300,28.183831,-46.299422,-17.082269,40.979256,-19.660549,-7.518525,2.413692,-9.170731,0.000000
12-15-2021,28.622325,-188.651382,8.562332,-93.016950,-31.703462,58.146919,-15.751581,3.198348,12.616546,-51.204425,0.096057,-14.055219,-4.217524,-7.600562,0.000000
