PC,explained_percent,cumulative_percent
1,32.7579,32.7579
2,25.1472,57.9051
3,17.9791,75.8842
4,8.8637,84.7479
5,3.5519,88.2998
6,3.1101,91.4099
7,2.6493,94.0592
8,1.7699,95.8291
9,1.1452,96.9743
10,0.9659,97.9402
11,0.7586,98.6988
12,0.6598,99.3586
13,0.4353,99.7938
14,0.2062,100.0000
15,0.0000,100.0000
