PC,explained_percent,cumulative_percent
1,38.7694,38.7694
2,25.2207,63.9900
3,11.9730,75.9631
4,8.5677,84.5308
5,4.2076,88.7384
6,3.2470,91.9854
7,2.5253,94.5107
8,1.8063,96.3170
9,1.2547,97.5717
10,0.9137,98.4854
11,0.7812,99.2666
12,0.4506,99.7172
13,0.2828,100.0000
14,0.0000,100.0000
